"","fineff.theta_hat","fineff.theta_ci_low","fineff.theta_ci_high","soc_eff.theta_hat","soc_eff.theta_ci_low","soc_eff.theta_ci_high","finsoc_eff.theta_hat","finsoc_eff.theta_ci_low","finsoc_eff.theta_ci_high"
"1937",0.102179997435863,0.0977394539874598,0.101678587259481,0.73555,0.735205984452957,0.735489062392243,0.73555,0.735059939809944,0.735527768774484
"1938",0.102179997435863,0.0977394539874598,0.101678587259481,0.7639,0.763544472181837,0.763835630314137,0.7639,0.763441308124853,0.76387049310743
"1939",0.102179997435863,0.0977394539874598,0.101678587259481,0.7639,0.763485386799245,0.763826085341192,0.7639,0.763359593778834,0.763834099374024
"1940",0.102179997435863,0.0977394539874598,0.101678587259481,0.7639,0.763500923905718,0.76382871506921,0.7639,0.763380141639246,0.763837819723077
"1941",0.102179997435863,0.0977394539874598,0.101678587259481,0.7639,0.762968354183049,0.763822927960237,0.7639,0.762756112738108,0.763686431808849
"1942",0.102179997435863,0.0989856074369587,0.101611186847375,0.7639,0.763163914443085,0.763801540541182,0.7639,0.763057153607596,0.763649879673174
"1943",0.094992972685129,0.091944505856504,0.0948935855604003,0.96505,0.964427127453777,0.965184550191461,0.96505,0.964250790086959,0.965106167749756
"1944",0.101217372171844,0.0981748901591656,0.10113978015368,0.96625,0.965682066979091,0.96635678036622,0.96625,0.965583620463176,0.966301491080798
"1945",0.0998719756732758,0.0973702199403047,0.0991816979862291,0.96625,0.965780110435052,0.966283806139718,0.96625,0.96572503457063,0.966269492640696
"1946",0.105778379527427,0.103600780556119,0.104697008715301,0.97975,0.979407999506824,0.979704402246947,0.97975,0.979412684781719,0.979698647537718
